Comunidades y Ciudades Autónomas;Sexo;Grupos de edad;Periodo;Total
08 Castilla - La Mancha;Hombres;De 15 a 19 años;2010;101,18
08 Castilla - La Mancha;Hombres;De 20 a 24 años;2010;80,32
08 Castilla - La Mancha;Hombres;De 25 a 29 años;2010;53,19
08 Castilla - La Mancha;Hombres;De 30 a 34 años;2010;36,9
08 Castilla - La Mancha;Hombres;De 35 a 39 años;2010;30,63
08 Castilla - La Mancha;Hombres;De 40 a 44 años;2010;29,85
08 Castilla - La Mancha;Hombres;De 45 a 49 años;2010;33,28
08 Castilla - La Mancha;Hombres;De 50 a 54 años;2010;37,59
08 Castilla - La Mancha;Hombres;De 55 a 59 años;2010;49,18
08 Castilla - La Mancha;Hombres;De 60 a 64 años;2010;77,16
08 Castilla - La Mancha;Hombres;De 65 a 69 años;2010;80,35
08 Castilla - La Mancha;Hombres;De 70 a 74 años;2010;119,83
08 Castilla - La Mancha;Hombres;75 y más años;2010;56,91
08 Castilla - La Mancha;Mujeres;De 10 a 14 años;2010;62,78
08 Castilla - La Mancha;Mujeres;De 15 a 19 años;2010;122,57
08 Castilla - La Mancha;Mujeres;De 20 a 24 años;2010;112,33
08 Castilla - La Mancha;Mujeres;De 25 a 29 años;2010;56,91
08 Castilla - La Mancha;Mujeres;De 30 a 34 años;2010;44,71
08 Castilla - La Mancha;Mujeres;De 35 a 39 años;2010;44,41
08 Castilla - La Mancha;Mujeres;De 40 a 44 años;2010;43,78
08 Castilla - La Mancha;Mujeres;De 45 a 49 años;2010;56,69
08 Castilla - La Mancha;Mujeres;De 50 a 54 años;2010;55,98
08 Castilla - La Mancha;Mujeres;De 55 a 59 años;2010;80,48
08 Castilla - La Mancha;Mujeres;De 60 a 64 años;2010;81,98
08 Castilla - La Mancha;Mujeres;De 65 a 69 años;2010;103,06
08 Castilla - La Mancha;Mujeres;De 70 a 74 años;2010;110,08
08 Castilla - La Mancha;Mujeres;75 y más años;2010;78,97
09 Cataluña;Hombres;De 10 a 14 años;2010;90,86
09 Cataluña;Hombres;De 15 a 19 años;2010;115,54
09 Cataluña;Hombres;De 20 a 24 años;2010;120,9
