,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    6.1.-Tráfico de drogas,420.0,407.0,323.0,351.0,336.0,270.0,252.0,285.0,313.0,343.0,262.0,318.0,311.0,
    7. FALSEDADES,631.0,673.0,590.0,446.0,433.0,357.0,330.0,303.0,306.0,339.0,329.0,401.0,331.0,
    8. ADMÓN. PÚBLICA,12.0,7.0,14.0,3.0,9.0,6.0,9.0,10.0,9.0,20.0,6.0,17.0,11.0,
    9. ADMÓN. JUSTICIA,860.0,696.0,686.0,799.0,710.0,612.0,594.0,674.0,808.0,616.0,618.0,627.0,593.0,
    10. ORDEN PÚBLICO,882.0,665.0,807.0,570.0,526.0,473.0,438.0,494.0,636.0,733.0,759.0,868.0,772.0,
    11. LEGISLACIÓN ESPECIAL,3.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,6.0,3.0,
    TOTAL INFRACCIONES PENALES,47889.0,41796.0,36024.0,42583.0,40367.0,37878.0,38146.0,38384.0,40460.0,42735.0,46401.0,50210.0,51214.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,3895.0,3208.0,3038.0,3368.0,3159.0,3160.0,3239.0,4238.0,5429.0,5617.0,5677.0,6256.0,6171.0,
    1.1.-Homicidios dolosos/asesinatos,22.0,9.0,14.0,18.0,18.0,16.0,22.0,18.0,27.0,17.0,15.0,22.0,37.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,1.0,5.0,7.0,7.0,5.0,6.0,4.0,7.0,8.0,6.0,9.0,19.0,
    1.2.-Lesiones,2213.0,1743.0,1589.0,1947.0,1844.0,1906.0,1989.0,1935.0,1951.0,2102.0,2200.0,2416.0,2315.0,
    1.4.-Otros contra las personas,67.0,63.0,54.0,59.0,51.0,49.0,49.0,1110.0,2238.0,2283.0,2182.0,2349.0,2477.0,
    2.2.-Otros contra la libertad,2123.0,1855.0,1824.0,1765.0,1639.0,1754.0,1694.0,1027.0,381.0,444.0,458.0,433.0,452.0,
    3.3.-Corrupción de menores o incapacitados,9.0,8.0,2.0,3.0,11.0,1.0,2.0,7.0,8.0,7.0,2.0,8.0,6.0,
    3.4.-Pornografía de menores,11.0,19.0,12.0,11.0,11.0,8.0,10.0,10.0,7.0,9.0,11.0,8.0,25.0,
    3.5.-Otros contra la libertad sexual,37.0,37.0,39.0,30.0,36.0,23.0,24.0,23.0,18.0,22.0,17.0,19.0,21.0,
    5. PATRIMONIO,22476.0,18028.0,16593.0,19066.0,18807.0,17964.0,18359.0,18946.0,19530.0,20834.0,20612.0,18959.0,18724.0,
